,ID,ID_verify,Locality,Longitude,Latitude
1,201502221200napu0004,201502221200napu0004,gh,17.05817,-22.71088
2,201412041445napu0002,201412041445napu0002,mkb,17.17719,-22.64963
3,201412110900napu2000,201412110900napu2000,mkb,17.17719,-22.64969
4,201412111321napu0000,201412111321napu0000,mkb,17.17728,-22.64985
5,201412281330napu0000,201412281330napu0000,mkb,17.1765,-22.65011
6,201501051018napu0000,201501051018napu0000,mkb,17.17728,-22.64989
7,201501051255napu0000,201501051255napu0000,mkb,17.17886,-22.65021
8,201501120914napu0000,201501120914napu0000,mkb,17.1788,-22.65066
9,201501121047napu0000,201501121047napu0000,mkb,17.17944,-22.65089
10,201501121225napu0000,201501121225napu0000,mkb,17.17919,-22.65116
11,201502221258napu0100,201502221258napu0100,gh,17.06037,-22.71061
12,201503010855napu0040,201503010855napu0040,gh,17.06367,-22.7076
13,201501230812napu0001,201501230812napu0001,gh,17.05986,-22.70972
14,201501230845napu1404,201501230845napu1404,gh,17.05979,-22.70939
15,201501230902napu0003,201501230902napu0003,gh,17.05989,-22.70933
16,201501230938napu0020,201501230938napu0020,gh,17.05989,-22.70928
17,201501131228napu0005,201501131228napu0005,mkb,17.17987,-22.65251
18,201501231056napu0000,201501231056napu0000,gh,17.06003,-22.70873
19,201501231205napu0010,201501231205napu0010,gh,17.06022,-22.70831
20,201501231206napu1000,201501231206napu1000,gh,17.06022,-22.70831
21,201501231553napu0050,201501231553napu0050,gh,17.06112,-22.70806
22,201501251114napu0000,201501251114napu0000,mkb,17.18036,-22.64988
23,201502151401napu5000,201502151401napu5000,gh,17.05985,-22.70976
24,201502220800napu0002,201502220800napu0002,gh,17.05943,-22.70975
25,201502220855napu0030,201502220855napu0030,gh,17.05916,-22.70968
26,201502221006napu2900,201502221006napu2900,gh,17.05945,-22.70996
27,201503080810napu0400,201503080810napu0400,gh,17.06015,-22.70969
28,201503081230napu0500,201503081230napu0500,gh,17.0629,-22.70683
29,201503081358napu2000,201503081358napu2000,gh,17.06334,-22.70734
30,201504161135napu0003,201504161135napu0003,lichw,17.00659,-22.834
31,201504181024napu0400,201504181024napu0400,lichw,17.03832,-22.7366
32,201504181055napu0000,201504181055napu0000,lichw,17.03836,-22.73661
33,201504241136napu0000,201504241136napu0000,okh,16.93351,-21.99372
34,201504301128napu0000,201504301128napu0000,gb,16.73531,-22.10979
35,201506061054napu0040,201506061054napu0040,khw,16.17072,-22.80608
36,201506061111napu0000,201506061111napu0000,khw,16.17078,-22.80605
37,201806211307napu001,201806211307napu001,gh,17.06259,-22.70395
38,201806211308napu002,201806211308napu002,gh,17.06259,-22.70395
39,201806211357napu003,201806211357napu003,gh,17.0626,-22.70647
40,201806211447napu004,201806211447napu004,gh,17.05977,-22.70963
41,201806221343napu006,201806221343napu006,gh,17.05969,-22.7097
42,201806241413napu0000,201806241413napu0000,elis,17.11622,-22.43299
43,201806271230napu007,201806271230napu007,gh,17.05973,-22.70962
44,201806271329napu008,201806271329napu008,gh,17.05956,-22.7094
45,201807091233napu04,201807091233napu04,gh1,17.05967,-22.70969
46,201807091019napu011,201807091019napu011,gh1,17.05989,-22.70967
47,201807091020napu018,NA,gh1,17.05989,-22.70967
48,201807091021napu010,201807091021napu010,gh1,17.05989,-22.70967
49,201807091407napu014,201807091407napu014,gh1,17.05966,-22.70961
50,201807091154napu01,201807091154napu01,gh1,17.05983,-22.70975
51,201807091351napu015,201807091351napu015,gh1,17.05961,-22.70961
